id,label,comment
180,neutral,Jimmy this ready for review/commit? If so please 'submit'. Thanks.
409,neutral,I'm backporting this to 3.4 and 3.3 branches. --Michi
485,neutral,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12508207/ZOOKEEPER-1263.patch against trunk revision 1214571. +1 @author. The patch does not contain any @author tags. +1 tests included. The
611,negative,Bug Flavio more? Seriously
644,neutral,Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest
927,neutral,The patch no longer applies. Abmar
1671,neutral,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/)
1725,neutral,3.0.0 has been released
2091,neutral,Edited these issues to set the fix version.
2685,neutral,Integrated in Hadoop-Mapreduce-trunk #1386 (See https://builds.apache.org/job/Hadoop-Mapreduce-trunk/1386/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java
2987,positive,Thanks for the patch
3399,neutral,Changed MULTI_TEXTVALUE_SEPARATOR into a property configurable by injection of constant named xwork.validatorfileparser.multi_textvalue_separator. This makes it possible to have empty String as 'separator' if it apllies to your particular platform
3591,neutral,That is my understanding. Looking at the dtd
4163,neutral,No reply
4223,neutral,Updated in 1.2 branch. David
4694,neutral,As Wing Yew said
4758,neutral,See comments above
4887,positive,Patch Applied. Good Work Adrian!
5294,positive,After re-compiling the applcation and re-deploying everything worked properly
5373,neutral,I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel
5491,neutral,reg_name has been accepted as valid URI syntax since Xerces 2.6.0. This may change in the future if XML Schema 1.0 moves up to the RFC 3986 syntax which excludes this production. Xerces CVS currently supports the XML Schema 1.0
5711,neutral,Venu committed your patch. It's in Xerces 2.6.0. Please verify.
5713,neutral,Venu committed your patch for Xerces 2.6.0. Please verify.
5721,neutral,All of the components in the configuration get reset before parsing begins. This gives each component an opportunity to read features and properties from the configuration
5784,neutral,This bug is 3 years old. Anybody looking to fix it?
6272,neutral,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher
6447,neutral,See bug 5694 for the DOMException problem.
6555,neutral,Reporter took back the issue.
7278,positive,Hi George
7380,neutral,As a work around
7461,positive,I verified the fix using the xml-xerces_20040107172932.tar.gz CVS snapshot. Thanks!
7577,neutral,patch in cvs. Could you please verify?
7665,positive,Verified
8098,neutral,*** Bug 9236 has been marked as a duplicate of this bug. ***
8202,neutral,*** Bug 8704 has been marked as a duplicate of this bug. ***
8502,neutral,I tried using your testcase on Win95/IE4
8640,neutral,I think you want the XMLBEANS project
8813,neutral,checked in
8980,neutral,Added 'onRowInserted' callback to TreeTable
9485,neutral,This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).
9798,neutral,closing this issue.
9989,neutral,Xalan-Java appears to be operating correctly.
10261,neutral,I checked that this bug was fixed in version 2.5.2.
10314,neutral,First I want to verify that Gretchen's fix >Additional Comments From Gretchen Chiaramonte 2003-09-22 20:04 ------- for this bug works for me as well using Xalan 2.6.0. Second
10446,neutral,This bug has been fixed in Xalan Java 2.5.2. Please verify.
10696,neutral,Closing this issue. Please re-open if you have a testcase.
10856,negative,I think with the latest code
11149,negative,I wasn't able to reproduce the problem with the attachments. I saw appropriate error messages
11480,neutral,Retest shows Running xalan on lre02 <?xml version='1.0' encoding='UTF-8'?> <out xmlns='www.lotus.com' xmlns:ped='http://tester.com' english='to leave'/> Running XSLTC with Xerces Parser on lre02 <?xml version='1.0' encoding='UTF-8' ?> <out xmlns:ped='http://tester.com' xmlns='www.lotus.com' english='to leave'/>
11526,neutral,Original reporter is not available. This report has now 'timed out'.
11718,neutral,*** This bug has been marked as a duplicate of 6155 ***
11834,neutral,Still happens to me. Steps to duplicate: 1. Start IE5.5 on Win2k - open java console from the 'view' menu. 2. Download xalan-j_2_2_D11.tar.gz to server. 3. tar xzf xalan-j_2_2_D11.tar.gz (extract to location on a webserver - for me this was /home/httpd/html) 4. navigate to http://SERVER/xalan- j_2_2_D11/samples/AppletXMLtoHTML/appletXMLtoHTML.html
11881,neutral,AFAIK
11978,negative,Unfortunatly
12310,neutral,Very cool. Thank you.
12357,negative,You are mixing runtimes. You must link _all_ executables with the same run- time library. For release
12834,neutral,Integrated in Struts2 #551 (See https://builds.apache.org/job/Struts2/551/) WW-3914 solves problem with returning always system implementation of FileManager (Revision 1405930) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/xwork-core/src/main/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactory.java /struts/struts2/trunk/xwork-core/src/test/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactoryTest.java
12867,neutral,Integrated in Struts2 #545 (See https://builds.apache.org/job/Struts2/545/) WW-3881 allows new html input types (Revision 1397712) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/core/src/site/resources/tags/ajax/autocompleter.html
12989,neutral,Already resolved with WW-3414
13391,neutral,I am also having the same issue with a java.sql.Timestamp based attribute. The date I entered into the field was 'not a date'. Of course
13658,neutral,> Would it have an impact to remove this 'name' attribute from the generated 'form' tag ? YES! If you need XHTML strict compliance
13977,neutral,Assigning this to future until the dependent XWork enhancement is made.
13997,neutral,Integrated in Struts2-JDK6 #573 (See https://builds.apache.org/job/Struts2-JDK6/573/) WW-3928 Rollbacks changes introduced with WW-2749 to allow work with mod_jk and so on (Revision 1415770) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesRequestContext.java
14206,neutral,Ported the solution of WW-2551 to the Struts 2.0 branch.
14237,neutral,Resolving this issue as the original problem has been fixed. Please open a new ticket if you feel session invalidation should also be addressed.
14371,neutral,This is by design
